ngram,frequencia
vier perguntar,1
perguntar onde,1
onde andei,1
andei tempo,1
tempo sonhava,1
sonhava olhos,1
olhos abertos,1
abertos direi,1
direi amigo,1
amigo desesperava,1
desesperava sei,1
sei assim,3
assim falando,3
falando pensas,3
pensas desespero,3
desespero moda,3
moda 76,3
76 ando,1
ando descontente,2
descontente desesperadamente,2
desesperadamente grito,2
grito português,2
português ando,1
português vinte,1
vinte cinco,2
cinco anos,2
anos sonho,2
sonho sangue,2
sangue américa,2
américa sul,4
sul força,2
força deste,2
deste destino,2
destino tango,2
tango argentino,2
argentino vai,2
vai bem,2
bem melhor,3
melhor blues,2
blues sei,2
76 quero,2
quero canto,4
canto torto,4
torto feito,4
feito faca,4
faca corte,4
corte carne,4
carne quero,2
carne vinte,1
carne capineiro,1
capineiro pai,1
pai cortes,1
cortes cabelos,1
cabelos mãe,1
mãe penteou,1
penteou madrasta,1
madrasta enterrou,1
enterrou figo,1
figo figueira,1
figueira passarim,1
passarim beliscou,1
beliscou companheiro,1
companheiro passas,1
passas estrada,1
estrada seguindo,1
seguindo rumo,1
rumo sertão,1
sertão vires,1
vires cruz,1
cruz casa,1
casa abandonada,1
abandonada deixa-a,1
deixa-a paz,1
paz dormir,1
dormir solidão,1
solidão vale,1
vale ramo,1
ramo alecrim,1
alecrim cheiroso,1
cheiroso atiras,1
atiras braços,1
braços seio,1
seio passar,1
passar vais,1
vais espantar,1
espantar bando,1
bando buliçoso,1
buliçoso borboletas,1
borboletas mariposas,1
mariposas vão,1
vão pousar,1
pousar casa,1
casa casa,1
casa dentro,1
dentro três,1
três cadeiras,1
cadeiras madeira,1
madeira sala,1
sala mesa,1
mesa centro,1
centro rio,1
rio aberto,1
aberto barco,1
barco solto,1
solto pau-d'arco,1
pau-d'arco florindo,1
florindo porta,1
porta sob,1
sob ainda,2
ainda pouco,2
pouco enterrei,2
enterrei filha,2
filha morta,2
morta sob,1
morta aqui,1
aqui mortos,1
mortos bons,1
bons pois,1
pois atrapalham,1
atrapalham nada,1
nada comem,1
comem pão,2
pão vivos,2
vivos ocupam,2
ocupam lugar,2
lugar estrada,2
estrada pois,1
pois comem,1
estrada nada,1
nada nada,37
nada velha,1
velha sentada,2
sentada ruido,2
ruido renda,2
renda menina,2
menina sentada,2
sentada roendo,2
roendo merenda,2
merenda velha,1
merenda nada,1
nada aqui,2
aqui acontece,2
acontece nada,2
nada absolutamente,2
absolutamente nada,2
nada aguapé,1
aguapé lagoa,1
lagoa sobre,1
sobre água,1
água nada,1
nada deixa,1
deixa borda,1
borda canoa,1
canoa perfumada,1
perfumada chaminé,1
chaminé toa,1
toa fábrica,1
fábrica montada,1
montada sob,1
sob água,1
água fabrica,1
fabrica ar,1
ar puro,1
puro alvorada-da-da-da,1
alvorada-da-da-da nada,1
nada interessado,1
interessado nenhuma,4
nenhuma teoria,4
teoria nenhuma,3
nenhuma fantasia,3
fantasia algo,3
algo tinta,1
tinta pro,1
pro rosto,1
rosto oba,1
oba oba,1
oba melodia,1
melodia acompanhar,1
acompanhar bocejos,1
bocejos sonhos,1
sonhos matinais,1
matinais interessado,1
teoria nessas,1
nessas coisas,1
coisas oriente,1
oriente romances,1
romances astrais,1
astrais alucinação,1
alucinação suportar,1
suportar dia-a-dia,1
dia-a-dia delírio,1
delírio experiência,1
experiência coisas,1
coisas reais,1
reais preto,1
preto pobre,2
pobre estudante,2
estudante mulher,2
mulher sozinha,2
sozinha blue,2
blue jeans,2
jeans motocicletas,2
motocicletas pessoas,2
pessoas cinzas,2
cinzas normais,2
normais garotas,2
garotas dentro,2
dentro noite,3
noite revólver,2
revólver cheira,2
cheira cachorro,2
cachorro humilhados,2
humilhados parque,2
parque jornais,2
jornais carneiros,2
carneiros mesa,2
mesa trabalho,2
trabalho corpo,2
corpo cai,2
cai oitavo,2
oitavo andar,3
andar solidão,2
solidão pessoas,2
pessoas dessas,2
dessas capitais,2
capitais violência,2
violência noite,2
noite movimento,2
movimento tráfego,2
tráfego rapaz,2
rapaz delicado,2
delicado alegre,2
