termo,frequencia,musicas
vier,7,"A Palo Seco, Cuidar do Homem, Os Derradeiros Moicanos, Paraíso, Tambor Tantã"
perguntar,1,"A Palo Seco, Baihuno"
onde,31,"A Palo Seco, Arte Final, Baihuno, Bel Prazer, Carisma, Caso Comum de Trânsito, Conheço o Meu Lugar, Coração Selvagem, Depois Das Seis, Divina Comédia Humana, Elegia Obscena, Espacial, Fotografia 3X4, Galos, Noites e Quintais, Kitsch Metropolitanus, La Vida Es Sueño, Monólogo das Grandezas do Brasil, Onde Jazz Meu Coração?, Os Profissionais, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Voz da América"
andei,3,"A Palo Seco, Balada de Madame Frigidaire, Bel Prazer, Canção de Gesta de Um Trovador Eletrônico, Ondas Tropicais, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
tempo,33,"A Palo Seco, Baihuno, Bossa Em Palavrões, Caso Comum de Trânsito, Clamor No Deserto, Comentários a Respeito de John, Como Nossos Pais, Conheço o Meu Lugar, Coração Selvagem, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Em Resposta à Carta de Fã, Fotografia 3X4, Galos, Noites e Quintais, Lamento do Marginal Bem Sucedido, Não Leve Flores, Rock Romance de Um Robô Goliardo, S.A., Tudo Outra Vez"
sonhava,2,"A Palo Seco, Num País Feliz"
olhos,4,"A Palo Seco, Fotografia 3X4, Paraíso, Princesa do Meu Lugar"
abertos,1,A Palo Seco
direi,3,"A Palo Seco, Cuidar do Homem, Divina Comédia Humana, Objeto Direto, Onde Jazz Meu Coração?, Tambor Tantã"
amigo,13,"A Palo Seco, Amor de Perdição, Apenas Um Rapaz Latino Americano, Baihuno, Balada de Madame Frigidaire, Caso Comum de Trânsito, Clamor No Deserto, Divina Comédia Humana, La Vida Es Sueño, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Não Leve Flores, Tudo Outra Vez"
desesperava,1,A Palo Seco
