titulo,mais tocada,letra,compositor
"1,2,3 Balançou",0,"1,2,3, balançou 1,2,3, o meu samba eu quero assim Requebra e vai por mim </p>1,2,3, vai não vai 1,2,3, ouve o prato a marcar  O nosso balançar</p>Faz um passo todo figurado E segue o rebolado A onda do balanço me enrolou</p>Eu não posso parar Vejo o tempo correr sem me cansar Você pode notar</p>Batam palmas para quem gostou Do meu samba que a ninguém negou</p>De todo o coração Sensação Enquanto balançou</p>",alcyr pires vermelho
20 Anos Blues,0,"Ontem de manhã quando acordei Olhei a vida e me espantei Eu tenho mais de vinte anos E eu tenho mais de mil perguntas sem respostas Estou ligada num futuro blue </p>Os meus pais nas minhas costas As raízes na marquise Eu tenho mais de vinte muros O sangue jorra pelos furos, pelas veias de um jornal Eu não te quero, eu te quero mal</p>Essa calma que inventei, bem sei Custou as contas que contei Eu tenho mais de vinte anos E eu quero as cores e os colírios, meus delírios Estou ligada num futuro blue</p>Os meus pais nas minhas costas As raízes na marquise Eu tenho mais de vinte muros O sangue jorra pelos furos, pelas veias de um jornal Eu não te quero, eu te quero mal</p>Ontem de manhã quando acordei Olhei a vida e me espantei Eu tenho mais de vinte anos</p>",sueli costa / vitor martins
A Banca do Distinto,0,"Não fala com pobre, não dá mão a preto Não carrega embrulho Pra que tanta pose, doutor Pra que esse orgulho </p>A bruxa que é cega esbarra na gente E a vida estanca O enfarto te pega, doutor acaba essa banca</p>A vaidade é assim, põe o tonto no alto E retira a escada Mas fica por perto esperando sentada Mais cedo ou mais tarde ele acaba no chão</p>Mais alto o coqueiro, maior é o tombo do tonto afinal Todo mundo é igual quando o tombo termina Com terra em cima e na horizontal</p>",billy blanco
A Corujinha,0,"Corujinha, corujinha, Que peninha de você. Fica toda encolhidinha Sempre olhando não sei quê. O seu canto de repente Faz a gente estremecer. Corujinha, pobrezinha, Todo mundo que te vê Diz assim, ah, coitadinha, Que feinha que é você. </p>Quando a noite vem chegando Chega o teu amanhecer. E se o sol vem despontando Vais voando te esconder.</p>Hoje em dia andas vaidosa, Orgulhosa como o quê. Toda noite tua carinha Aparece na TV.</p>Corujinha, coitadinha. Que feinha que é você.</p>",toquinho / vinicius de moraes
A Dama do Apocalipse,0,"Branco por cima e o negro de um sorriso herói Trancam-me a mente e eu nego o quanto a dor destrói Rasgam-me o sonho e o mal me põe na vida </p>E a vida me faz sem medo Nos diademas, pragas, anjos de néon Nos holocaustos, trompas, flechas, megatrons Abre-se  a terra e o fogo traz a vida</p>E a vida não traz segredo Fecha-se o ar e o sol se nega, nega-se o pão e a paz E o amor me cega</p>Sete rajadas correm, somem E uma mulher Se entrega e se impõe ardente Constante, serpente, vulgar Rasga-se o sonho e o corpo sente a dor crescer Abre-se a mente e o cego vê a luz nascer Trava-se a guerra e o fogo faz a vida</p>",nathan marques
A Felicidade,0,"Tristeza não tem fim Felicidade sim </p>A felicidade é como a gota De orvalho numa pétala de flor Brilha tranqüila Depois de leve oscila E cai como uma lágrima de amor</p>A felicidade do pobre parece A grande ilusão do carnaval A gente trabalha o ano inteiro Por um momento de sonho Pra fazer a fantasia De rei ou de pirata ou jardineira Pra tudo se acabar na quarta-feira</p>Tristeza não tem fim Felicidade sim</p>A felicidade é como a pluma Que o vento vai levando pelo ar Voa tão leve Mas tem a vida breve Precisa que haja vento sem parar</p>Tristeza não tem fim Felicidade sim</p>A minha felicidade está sonhando Nos olhos da minha namorada É como esta noite, passando, passando Em busca da madrugada Falem baixo, por favor Pra que ela acorde alegre com o dia Oferecendo beijos de amor</p>A felicidade é uma coisa boa E tão delicada também Tem flores e amores De todas as cores Tem ninhos de passarinhos Tudo de bom ela tem E é por ela ser assim tão delicada Que eu trato dela sempre muito bem</p>Tristeza não tem fim Felicidade sim</p>",tom jobim / vinicius de moraes
A Fia de Chico Brito,0,"Sou filha de Chico Brito, pai de oito filho maior Nascida em Baturité, criada a carne de sol Sete home e eu mulher, oito filho pra criar Sete home pra peixeira e a mulher pra </p>Dos oito filho do véio, tem sete que se casou Os home fez casamento e cinco já procriou Só eu e que to sobrando, na certa Deus se enganou Acabo me abilolando, porque o meu caso é casar</p>E caso de quarqué jeito, caso inté, uh</p>De tanto piscá os óio, já tô ficando zarolha De tanto chamá com a mão, na mão já tenho inté bolha Já fiz duzenta novena, já me cansei de rezá Meus cutuvelo ta inchado, de no portão debruçá Mas caso de quarqué jeito, caso inté, uh</p>",francisco anysio
A Noite (Tonight),0,"A noite amor, vou ver o meu amor A Lua há de brilhar, pra nós dois A noite amor, vou ver o meu amor E pra nós as estrela virão </p>E o Sol que sabe que eu espero Que só a noite eu quero Compreende e já se vai</p>Óh Deus fazei Fazei que a noite seja Sem fim, pra mim</p>",nao identificado
A Noite do Meu Bem,0,Hoje eu quero a rosa mais linda que houver  E a primeira estrela que vier  Para enfeitar a noite do meu bem  Hoje eu quero a paz de criança dormindo  E o abandono das flores se abrindo  Para enfeitar a noite do meu bem  Quero a alegria de um barco voltando  Quero a ternura de mãos se encontrando  Para enfeitar a noite do meu bem  Ah! Eu quero o amor mais profundo  Eu quero toda a beleza do mundo  Para enfeitar a noite do meu bem  Ah! Como este bem demorou a chegar  Eu já nem sei se terei no olhar  Toda a ternura que eu quero lhe dar. </p>,dolores duran
A Palo Seco,0,"À Palo Seco Belchior Composição: Belchior </p>Se você vier me perguntar por onde andei No tempo em que você sonhava. De olhos abertos, lhe direi: - Amigo, eu me desesperava. Sei que, assim falando, pensas Que esse desespero é moda em 76. Mas ando mesmo descontente. Desesperadamente eu grito em português: 2x (bis)</p>- Tenho vinte e cinco anos de sonho e De sangue e de América do Sul. Por força deste destino, Um tango argentino Me vai bem melhor que um blues. Sei, que assim falando, pensas Que esse desespero é moda em 76. E eu quero é que esse canto torto, Feito faca, corte a carne de vocês. (2x)</p>",belchior
