titulo,mais tocada,letra,compositor
17 Anos de Vida,0,"17 anos de vida Eu tô perdido Do joelho até o umbigo Tudo é perigo </p>Resolve logo Ou transa ou sai de cima Mas não me olha assim Mas não me ri assim Que eu piro</p>Arranjo emprego Monto apartamento Te levo em lua-de-mel Pra onde você quiser</p>Só, brotinho, não me obrigue A usar cinismo 17 anos de vida Eu também tive Ah eu tô perdido</p>",cazuza / roberto frejat
A Inocência do Prazer,0,"Já passou, fomos perdoados Por todos os deuses do amor Acabou, podemos ser claros Como era antes, seja lá como for Alguém tentou desesperadamente Sentir algo decente Sou feliz, pois já fui julgada Daqui pra frente, tudo é meu Então fala baixo Fala baixo e sente Eu vou te dar um presente </p>Vento novo, flores e cores Fim do verão tropical Novos ares, novos amores Tudo volta ao seu estado normal Sou feliz e trago as provas Nos meus olhos molhados E vejo a vida tão diferente Eu já posso entender A inocência do prazer Então fala baixo Fala baixo e sente Eu vou te dar um presente</p>",cazuza / george israel
A Orelha de Eurídice,0,"Você na multidão Você é diferente As suas mãos me acenam Nem parecem ter morrido Cheias de presentes Caixas coloridas </p>Trouxe uma orelha envolta Num pano vermelho É a prova, meu amor Me espera sem uma orelha Vou correndo, vou agora Resgatar o meu amor</p>No asfalto quente Do aeroporto Como uma miragem É a alma quem castiga o corpo Esta é a mensagem Na paisagem distorcida Pelos aviões que sobem</p>Você voltou pra me ajudar E eu fico mais feliz Mas ainda não estamos salvos O ar está pesado Não é só a cicatriz Que identifica um ser amado</p>Temos que ter ideias juntos Temos que achar uma maneira</p>É que agora tá chovendo Uma chuva sem vento Há meia hora ventava Vamos fugir pra dentro</p>Há meia hora ventava E tínhamos coragem E eu já tô cansado De não gostar de mim</p>",cazuza
A Via-crúcis do Corpo,0,"O homem pode ter suas fêmeas Mulheres podem ter seus machos Tudo é possível no amor Só não volta a infância perdida Só não nos livramos de morrer à toa </p>O amor pode não ter ciúme A dor pode ser disfarçada Mas a via-crúcis do corpo Já foi há muito traçada</p>Meu Deus, estamos abandonados E só nos resta matar Meu Deus, como a vida é amarga E doce como chocolate</p>Será que eu tenho um destino? Não quero ter a vida pronta Como um plano de trabalho Como um sorvete de menta</p>Matei, mataria mil vezes E mil vezes não me arrependeria Quem mata por amor tem perdão Porque o amor é a morte</p>A comida na mesa Os vasos de jasmim O corpo do ser amado Enterrado no jardim</p>Deus, por que não me procuras? Tenho sempre que ir a ti Deus, estamos cansados Está tudo desequilibrado</p>Meu crime é um crime comum Minha infância está perdida Não há nada demais em matar O escroto que não te ama</p>A via-crúcis do corpo O mundo caminha assim A via-crúcis da alma Essa nunca vai ter fim</p>",cazuza
A Vizinha Reclama,0,Quando eu te beijo A vizinha reclama A polícia me ganha E o governo declara Guerra </p>Eu te beijo E entendo a fome e a guerra Eu te toco aflito E entendo o animal na terra Que verdade ele espera Defronte nenhuma delas</p>Toda vez que eu te beijo A vizinha reclama.</p>,cazuza
"Ajudai, Senhor",0,"Deus, me ajuda Me ajuda, Senhor Eu me sinto tão usado e louco aqui Sem ninguém, ninguém pra amar Eu procuro em todo lugar e não acho Ninguém para amar Deus, me ajuda Me ajuda, Senhor Eu sei, não há nenhum tipo Especial de pessoa Que te pede Mas eu acredito que o Senhor não esquece ninguém Ninguém Ah, Deus, me ajuda, por favor Você não sabe quanto tempo faz Que eu tento em vão Todo dia eu me esforço Tentando mudar Mas alguma coisa sempre me empurra pra baixo É verdade Não me deixe só aqui, sem amor Não me deixe, Senhor... </p>",cazuza
Alta Ansiedade,0,"Se marco uma entrevista às 2 1:15 já fumei 10 cigarros Se vou gravar uma faixa A mesa do estúdio está quebrada Não sei esperar, não sei esperar E a minha vida é um engarrafamento </p>Se tenho uma festa às 10 8:30 já estou pronto Fico balançando os pés Sentado na bera da cama O tempo não passa pra mim Quero mais velocidade Várias coisas ao mesmo tempo Não quero esse bonde lento</p>",cazuza
Alta Ansiedade II,0,Estou ficando maluco Não nasci pra Woody Allen Pois sou muito mais bonito </p>Vou comprar um livro zen Quero ser um cara tranqüilo Só que na segunda página Já vou tar no maior grilo Vou tomar um pexopide Vou virar uma birita</p>Sou um desequilibrado Sei que sou feito um mosquito E o meu jeito de viver De gastar minha energia Um cigarro atrás do outro Goles de whisky Andar sem razão pela casa Trocando o lugar dos móveis</p>Alta ansiedade...</p>,cazuza
Amigo Caco,0,"Caco, eu tô cansado Se lembra da gente no Rick Vendendo trouxa de fumo na esquina? Se lembra das nossas meninas Da Ana Lúcia, da Vânia, da Maysa E da portuguesa viciada em heroína Que você namorava? </p>Caco, você agora joga tênis no Country E nossas vidas são um desencontro Mas eu te juro, baby Que ainda te amo</p>São vinte anos, meu brother Os primeiros baseados e também as picadas A gente era mesmo da pesada</p>Caco, cadê você? Meu melhor amigo Vamos juntos tomar um traçado Vamos voltar mas O tempo não pára E volta, e vem E nos leva pra casa</p>Caco, eu tô um caco E tenho esperança Mas às vezes cansa</p>",cazuza / de
Amigos de Bar,0,"Amigos de bar  Papos desconexos  Eu procuro um par  De novo o velho sexo  Fedendo a vexames  Procuro alguém para amar  Na rua deserta  Como as Casas Sendas  Não me repreendas  São sempre os mesmos problemas  Não temas  O meu tema sem vida, minha amiga  Só porque eu perdi a vida  O presente mais lindo, um verso, um amor  Paciência comigo  São sonhos tão novos  E amigos antigos  Pra temperar vodka  Gargalhadas gostosas  Acrescenta pequenos momentos de silêncio  Conferir a sério  E esperar o troco  É louco viver!  Boa noite, amiga  Prazer em te ver!  Boa noite, amiga  Prazer em te ver! </p>",bebel gilberto / cazuza / de
